Topic1,Topic2,Edge Weight
Basketball,English Premier League,1
European Football,NBA,1
Basketball,European Football,1
Governance-ESG,Russia-Ukraine War,2
GOP,Voting,1
Cannabis,Data,1
Cannabis,Drugs,1
Data,Drugs,1
In Memoriam,Media,1
Europe,Murder,1
Crime,Europe,1
Social Issues,Tweets,1
Racial Injustice,Tweets,1
European Football,India,1
FIFA,India,1
India,World Cup,1
French Open,Tennis,1
Reviews,Theater,35
AI,Brexit,1
AI,World Politics,1
Economy,Inflation,2
Brexit,Markets,1
Markets,World Politics,1
Crime,Vietnamese,1
Gaming,Movies,1
Gaming,Lord of the Rings,1
Bitcoin,Cryptocurrency,3
Crime,Missing People,1
College Sports,NBA,1
Academia,NBA,1
Academia,Basketball,1
Russia-Ukraine War,Theater,1
Reviews,Russia-Ukraine War,1
Holidays,Wildlife,1
Christmas,Wildlife,1
Elephants,Holidays,1
Christmas,Elephants,1
Caribbean Islands,Crime,1
Crime,Haiti,1
Reviews,Social Issues,1
Racial Injustice,Reviews,1
Social Issues,Theater,1
Racial Injustice,Theater,1
Earthquakes,Indonesia,1
Earthquakes,Tsunamis,1
Indonesia,Tsunamis,1
Crime,Drug Trafficking,1
Drug Trafficking,Human Trafficking,1
Crime,Social Issues,1
Human Trafficking,Social Issues,1
Brexit,LGBTQ,1
Brexit,Social Issues,1
Brexit,Trans Rights,1
LGBTQ,World Politics,1
Social Issues,World Politics,1
Trans Rights,World Politics,1
LGBTQ,Trans Rights,1
Social Issues,Trans Rights,1
Media,Reviews,1
Media,Theater,1
Brendan Fraser,TV,1
Holidays,Terrorism,1
Christmas,Terrorism,1
Christmas,Crime,1
Music,TV,1
Social-ESG,Theater,1
Reviews,Social-ESG,1
Holidays,Theater,1
Holidays,Reviews,1
Thanksgiving,Theater,1
Reviews,Thanksgiving,1
Korean,Theater,1
Korean,Reviews,1
Bitcoin,IBM,1
AI,Microsoft,1
Alabama,Tornadoes,1
Cocaine,Football,2
Cryptocurrency,Massachusetts,1
Blockchain,Massachusetts,1
Tennis,US Open,1
Cannabis,Climate Change,1
Amazon,Business Leaders,1
Amazon Prime,Business Leaders,1
Amazon,Amazon Prime,1
LGBTQ,Singapore,1
Singapore,Social Issues,1
Fitness,Soccer,1
Design,IBM,1
Design,Maryland,1
IBM,Maryland,1
AI,Climate Change,1
AI,Sweden,1
AI,Apple,1
AI,Electronics,1
AI,iPad,1
Apple,Electronics,2
Apple,iPad,1
Electronics,iPad,1
Cryptocurrency,NSA,1
Cryptocurrency,Security,1
Cryptocurrency,Security Breach,1
NSA,Security,1
NSA,Security Breach,1
AT&T,Business Leaders,1
AT&T,Google,1
AT&T,Startups,1
Business Leaders,Google,2
Business Leaders,Startups,1
Google,Startups,1
Native American,Nonprofits,2
Native American,TV,2
Nonprofits,TV,2
Oil & Gas,Shell,1
Sports Figures,Tua Tagovailoa,1
Google,IBM,1
Business Leaders,Cryptocurrency,1
Business Leaders,Huawei,1
Cryptocurrency,Huawei,1
Cannabis,United Kingdom,1
Security,Tornadoes,1
Security Breach,Tornadoes,1
AI,IBM,1
NBA,Oklahoma City Thunder,1
Basketball,Oklahoma City Thunder,1
Activism,Gal Gadot,1
Bill Clinton,Donald Trump,1
EDM,Music,1
Academia,NHL,1
NHL,New York,1
Academia,Canada,1
Academia,Edmonton,1
Academia,Hockey,1
Academia,New York,1
Canada,New York,1
Edmonton,New York,1
Hockey,New York,1
Fashion,Golden Globe Awards,1
Airlines,NYSE,1
Airlines,Markets,1
Airlines,Southwest Airlines,1
Aviation,NYSE,1
Aviation,Markets,1
Aviation,Southwest Airlines,1
NYSE,Southwest Airlines,1
Markets,Southwest Airlines,1
Markets,Nvidia,1
Business Leaders,Martin Luther King Jr.,1
Markets,United Kingdom,1
Aaron Rodgers,Kyrie Irving,1
Football,Kyrie Irving,1
Kyrie Irving,Sports Figures,1
Cryptocurrency,Nancy Pelosi,1
Joe Biden,Mike Pence,1
Donald Trump,Mike Pence,1
Lyft,Ridesharing,1
Lyft,Markets,1
Lyft,Uber,1
Markets,Ridesharing,1
Ridesharing,Uber,1
Markets,Uber,1
Football,Ring,1
Ring,Super Bowl,1
Colorado,Idaho,1
AI,Africa,1
Africa,ChatGPT,1
Africa,OpenAI,1
AI,ChatGPT,1
AI,OpenAI,1
ChatGPT,OpenAI,1
Climate Change,India,1
Joe Biden,Lawsuits,2
Airlines,Florida,2
American Express,NYSE,1
American Express,Markets,1
Boston Bruins,Hockey,1
Boston Bruins,NHL,1
HSBC,Markets,1
HSBC,NASDAQ,1
Inflation,Nigeria,1
Bankruptcy,Silicon Valley,1
Silicon Valley,Silicon Valley Bank,2
Bankruptcy,Silicon Valley Bank,1
Goldman Sachs,Markets,1
Economy,Social Security,1
Congress,India,1
California,Sacramento,1
Crime,Pennsylvania,1
Houston,Texas,2
Max Scherzer,Sports Figures,1
Brooks,Sports Figures,1
Baseball,Max Scherzer,1
Baseball,Brooks,1
Brooks,Max Scherzer,1
Spain,Sports Figures,1
European Football,Spain,1
Lucy Bronze,Spain,1
Barcelona,Sports Figures,1
Barcelona,European Football,1
Barcelona,Lucy Bronze,1
Lucy Bronze,Sports Figures,1
European Football,Lucy Bronze,1
Academia,Ron DeSantis,1
Florida,Formula 1,1
Ferrari,Florida,1
Florida,Motorsports,1
Ferrari,Formula 1,1
Formula 1,Miami,1
Ferrari,Miami,1
Ferrari,Motorsports,1
Miami,Motorsports,1
MLB,Peacock,1
Baseball,Peacock,1
Basketball,California,1
California,NBA,1
California,Los Angeles Lakers,1
Basketball,Los Angeles,1
Los Angeles,NBA,1
Los Angeles,Los Angeles Lakers,1
DNC,Donald Trump,1
Tesla,Tweets,1
AI,Business Leaders,1
AI,Google,1
Iga Swiatek,Sports Figures,1
Iga Swiatek,Tennis,1
Qatar,Taliban,1
Afghanistan,Taliban,1
Afghanistan,Qatar,1
Rory Mcilroy,Sports Figures,1
Golf,Rory Mcilroy,1
Economy,Social Issues,1
Louisiana,Social Media,1
Louisiana,Twitter,1
Donald Trump,Louisiana,1
Social Media,Twitter,1
Donald Trump,Social Media,1
Ring,Texas,1
Methamphetamine,Ring,1
Crime,Ring,1
Methamphetamine,Texas,1
Crime,Texas,1
Crime,Methamphetamine,1
ESG,Russia,1
ESG,Joe Biden,2
ESG,Russia-Ukraine War,1
Kentucky,NASDAQ,1
Kentucky,Markets,1
FedEx,NYSE,1
FedEx,Markets,1
Tesla,United Kingdom,1
Europe,Tesla,1
Hispanic,Supreme Court,1
Academia,Hispanic,1
Academia,Supreme Court,1
Motorsports,United Kingdom,1
Formula 1,United Kingdom,1
David Beckham,Lionel Messi,1
Crime,Georgia,1
Kansas City,MLB,1
Kansas,MLB,1
Kansas City Royals,MLB,1
MLB,Missouri,1
Baseball,Kansas City,1
Kansas City,Kansas City Royals,1
Baseball,Kansas,1
Kansas,Kansas City Royals,1
Baseball,Kansas City Royals,1
Baseball,Missouri,1
Kansas City Royals,Missouri,1
Crime,FIFA World Cup,1
Crime,New Zealand,1
Crime,World Cup,1
FIFA World Cup,New Zealand,1
New Zealand,World Cup,2
AI,United Kingdom,1
HSBC,United Kingdom,1
AI,HSBC,1
Olympics,Russia-Ukraine War,1
Coronavirus,Fact-Checking,1
Baseball,Boston Red Sox,1
Boston Red Sox,Los Angeles Dodgers,1
Boston Red Sox,MLB,1
Russia,Ukraine,1
Air Canada,Airlines,1
Airlines,Canada,1
Air Canada,Canada,1
Elon Musk,Space,1
Space,Tesla,1
Business Leaders,Space,1
Hawaii,Space,1
Elon Musk,Hawaii,1
Elon Musk,SpaceX,1
Hawaii,Tesla,1
SpaceX,Tesla,1
Business Leaders,Hawaii,1
Business Leaders,SpaceX,1
Hawaii,SpaceX,1
Markets,Tesla,1
NASDAQ,Tesla,1
Social Issues,YouTube,1
Racial Injustice,YouTube,1
ESG,Environmental Crime,1
Theft,Violence,1
Donald Trump,Georgia,1
Business Leaders,Minnesota,1
India,Markets,1
Hurricanes,Idaho,1
Florida,Idaho,1
Canada,Corruption,1
Corruption,Winnipeg,1
Europe,Sexual Exploitation,1
Sexual Exploitation,United Kingdom,1
Kanye West,Lawsuits,1
Style,Zara,1
Fashion,Zara,1
Cyber Crime,Security,1
Cyber Crime,Security Breach,1
Crime,Jacksonville,1
Crime,Florida,1
Joe Biden,Sexual Exploitation,1
Green Energy,Sexual Exploitation,1
ESG,Sexual Exploitation,1
Donald Trump,Sexual Exploitation,1
Electric Vehicles,Sexual Exploitation,1
Green Energy,Joe Biden,1
Electric Vehicles,Joe Biden,1
ESG,Green Energy,1
Donald Trump,Green Energy,1
Donald Trump,ESG,1
ESG,Electric Vehicles,1
Donald Trump,Electric Vehicles,1
ESG,UFC,1
Netherlands,New Zealand,1
Netherlands,World Cup,1
2023 Elections,Congress,1
Crime,GOP,1
GOP,Jim Jordan,1
Crime,Jim Jordan,1
Style,Suzanne Somers,1
MLB,San Diego Padres,1
Baseball,San Diego Padres,1
Academia,Oregon,1
Oregon,UCLA,1
Oregon,Utah,1
Academia,Utah,1
UCLA,Utah,1
Metro,Wildfires,1
Football,Wildfires,1
Football,Metro,1
Arizona Diamondbacks,World Series,1
Arizona Diamondbacks,Baseball,1
Arizona Diamondbacks,MLB,1
Murder,Organized Crime,1
GOP,Hunter Biden,1
Hunter Biden,Joe Biden,1
Apple,Netflix,1
Apple,TV,1
Saturday Night Live,Timothée Chalamet,1
TV,Timothée Chalamet,1
Massachusetts,Timothée Chalamet,1
Saturday Night Live,TV,1
Massachusetts,Saturday Night Live,1
Massachusetts,TV,1
Google,iPhone,1
Google Pixel,iPhone,1
Apple,iPhone,1
Electronics,Google,1
Electronics,Google Pixel,1
Google,Google Pixel,1
Apple,Google,1
Apple,Google Pixel,1
Football,Russia-Ukraine War,1
Crime,Israel,1
Dwight Howard,Sports Figures,1
Dwight Howard,NBA,1
Basketball,Dwight Howard,1
NBA,Nevada,1
Las Vegas,NBA,1
Basketball,Nevada,1
Los Angeles Lakers,Nevada,1
Las Vegas,Nevada,1
Basketball,Las Vegas,1
Las Vegas,Los Angeles Lakers,1
DNC,Texas,1
Abortion,Arkansas,1
Abortion,DNC,1
Arkansas,Social Issues,1
Arkansas,DNC,1
DNC,Social Issues,1
Football,New Mexico,1
Chris Godwin,Football,1
Chris Godwin,Tampa Bay Buccaneers,1
Chris Godwin,NFL,1
Chris Godwin,Sports Figures,1
Logitech,Switzerland,1
AI,Israel,1
Congress,Israel,1
AI,Congress,1
Russia-Ukraine War,The Kremlin,2
The Kremlin,Ukraine,1
Crime,Russia-Ukraine War,1
Crime,Russia,1
Coronavirus,Italy,1
Joe Biden,The Kremlin,1
Israel,Joe Biden,1
Kid Rock,Sports Figures,1
John Daly,Kid Rock,1
John Daly,Sports Figures,1
California,Kanye West,1
Kanye West,Malibu,1
California,Malibu,1
Houston Texans,NFL,1
Football,Houston Texans,1
Houston Texans,Texas,1
Houston,Houston Texans,1
NFL,Texas,1
Houston,NFL,1
Football,Texas,1
Football,Houston,1
